Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-07-04,40.12,38.86,40.13,38.82,212575,841524363.00,3.30,-2.04,-0.81,1.46
2024-07-05,38.96,39.34,40.04,38.88,290516,1155064516.00,2.99,1.24,0.48,1.99
2024-07-08,39.21,38.41,39.22,38.16,256539,997951322.00,2.69,-2.36,-0.93,1.76
2024-07-09,38.46,40.06,40.21,38.04,446487,1777902616.00,5.65,4.30,1.65,3.06
2024-07-10,39.76,39.81,40.28,39.68,258709,1042803227.00,1.50,-0.62,-0.25,1.77
2024-07-11,40.62,40.90,40.91,39.83,439476,1789410825.00,2.71,2.74,1.09,3.01
2024-07-12,40.58,40.08,40.58,39.87,253144,1025799875.00,1.74,-2.00,-0.82,1.74
2024-07-15,39.81,39.94,40.36,39.49,183647,738882698.00,2.17,-0.35,-0.14,1.26
2024-07-16,39.72,41.96,42.58,39.57,697330,2911443984.00,7.54,5.06,2.02,4.78
2024-07-17,41.72,41.51,42.95,41.44,541307,2302099274.00,3.60,-1.07,-0.45,3.71
2024-07-18,40.97,40.89,41.36,39.54,497395,2027257251.00,4.38,-1.49,-0.62,3.41
2024-07-19,40.67,43.18,43.84,40.67,884492,3823588925.00,7.75,5.60,2.29,6.06
2024-07-22,43.82,44.09,45.17,43.22,909672,4049871695.00,4.52,2.11,0.91,6.24
2024-07-23,44.29,42.76,44.85,42.66,646153,2848343264.00,4.97,-3.02,-1.33,4.43
2024-07-24,42.72,43.15,44.22,42.72,597545,2620415764.00,3.51,0.91,0.39,4.10
2024-07-25,42.47,43.20,43.94,42.36,518740,2264932345.00,3.66,0.12,0.05,3.56
2024-07-26,42.87,42.55,43.47,41.59,528975,2263609017.00,4.35,-1.50,-0.65,3.63
2024-07-29,42.57,41.66,42.64,41.66,327596,1386303899.00,2.30,-2.09,-0.89,2.25
2024-07-30,41.19,41.66,41.66,40.43,342285,1416732090.00,2.95,0.00,0.00,2.35
2024-07-31,41.45,43.56,43.56,41.34,533691,2306905820.00,5.33,4.56,1.90,3.66
2024-08-01,43.90,43.37,43.92,42.97,411318,1800482583.00,2.18,-0.44,-0.19,2.82
2024-08-02,42.66,42.55,44.30,42.46,432933,1885095292.00,4.24,-1.89,-0.82,2.97
2024-08-05,41.66,40.16,42.55,40.16,477129,1987606306.00,5.62,-5.62,-2.39,3.27
2024-08-06,40.96,40.77,41.14,39.74,319584,1301646416.00,3.49,1.52,0.61,2.19
2024-08-07,40.61,39.07,40.85,38.56,407821,1626678321.00,5.62,-4.17,-1.70,2.80
2024-08-08,38.65,38.82,39.47,38.16,292894,1143104163.00,3.35,-0.64,-0.25,2.01
2024-08-09,39.35,38.65,39.51,38.63,196396,774205843.00,2.27,-0.44,-0.17,1.35
2024-08-12,38.56,38.60,38.96,38.21,170210,662756013.00,1.94,-0.13,-0.05,1.17
2024-08-13,38.69,39.16,39.18,38.57,169457,665270183.00,1.58,1.45,0.56,1.16
